Entity,Code,population_density
Afghanistan,AFG,67.221794
Albania,ALB,101.14792
Algeria,DZA,19.916212
American Samoa,ASM,230.01
Andorra,AND,176.32765
Angola,AGO,31.314661
Anguilla,AIA,163.32222
Antigua and Barbuda,ATG,214.04091
Argentina,ARG,16.754303
Armenia,ARM,103.69912
Aruba,ABW,600.66113
Australia,AUS,3.5067463
Austria,AUT,110.44016
Azerbaijan,AZE,125.80354
Bahamas,BHS,40.25864
Bahrain,BHR,2080.1152
Bangladesh,BGD,1349.6724
Barbados,BRB,657.1628
Belarus,BLR,44.33387
Belgium,BEL,388.32742
Belize,BLZ,18.5395
Benin,BEN,131.38005
Bermuda,BMU,1194.9259
Bhutan,BTN,20.88731
Bolivia,BOL,11.614325
Bonaire Sint Eustatius and Saba,BES,97.2764
Bosnia and Herzegovina,BIH,61.328945
Botswana,BWA,4.5208054
Brazil,BRA,25.461687
British Virgin Islands,VGB,264.69333
Brunei,BRN,88.478935
Bulgaria,BGR,61.850616
Burkina Faso,BFA,87.99169
Burundi,BDI,560.3569
Cambodia,KHM,101.10999
Cameroon,CMR,63.208485
Canada,CAN,4.565713
Cape Verde,CPV,130.83945
Cayman Islands,CYM,315.8625
Central African Republic,CAF,8.849785
Chad,TCD,16.680155
Chile,CHL,26.710176
China,CHN,150.8377
Colombia,COL,48.152847
Comoros,COM,474.36755
Congo,COG,18.987947
Cook Islands,COK,55.145832
Costa Rica,CRI,100.91845
Cote d'Ivoire,CIV,102.86633
Croatia,HRV,68.76535
Cuba,CUB,105.36753
Curacao,CUW,417.6757
Cyprus,CYP,148.34512
Czechia,CZE,137.44809
Democratic Republic of Congo,COD,49.770603
Denmark,DNK,150.06165
Djibouti,DJI,51.08007
Dominica,DMA,87.79733
Dominican Republic,DOM,242.37735
East Timor,TLS,95.39179
Ecuador,ECU,73.642494
Egypt,EGY,118.906975
El Salvador,SLV,307.21298
Equatorial Guinea,GNQ,69.10481
Eritrea,ERI,29.799458
Estonia,EST,31.442806
Eswatini,SWZ,73.030754
Ethiopia,ETH,120.0385
Falkland Islands,FLK,0.28381264
Faroe Islands,FRO,40.859123
Fiji,FJI,51.073124
Finland,FIN,18.500809
France,FRA,121.72387
French Guiana,GUF,3.787091
French Polynesia,PYF,81.3656
Gabon,GAB,10.063554
Gambia,GMB,278.858
Georgia,GEO,54.779335
Germany,DEU,240.63374
Ghana,GHA,154.10611
Gibraltar,GIB,4009.6
Greece,GRC,77.10478
Greenland,GRL,0.13574369
Grenada,GRD,344.9088
Guadeloupe,GLP,230.70865
Guam,GUM,312.8963
Guatemala,GTM,174.39192
Guinea,GIN,61.450726
Guinea-Bissau,GNB,79.99548
Guyana,GUY,4.246594
Haiti,HTI,432.00485
Honduras,HND,98.36272
Hong Kong,HKG,7043.8325
Hungary,HUN,105.54718
Iceland,ISL,3.9494197
India,IND,492.35516
Indonesia,IDN,150.9711
Iran,IRN,56.96002
Iraq,IRQ,108.31073
Ireland,IRL,77.050224
Isle of Man,IMN,147.51404
Israel,ISR,439.79358
Italy,ITA,200.00952
Jamaica,JAM,261.96066
Japan,JPN,337.73233
Jordan,JOR,129.7457
Kazakhstan,KAZ,7.7207537
Kenya,KEN,101.086624
Kiribati,KIR,168.47408
Kuwait,KWT,282.04422
Kyrgyzstan,KGZ,38.034332
Laos,LAO,34.11179
Latvia,LVA,29.78483
Lebanon,LBN,571.7873
Lesotho,LSO,77.841995
Liberia,LBR,59.501297
Libya,LBY,4.2388906
Liechtenstein,LIE,250.65625
Lithuania,LTU,45.20206
Luxembourg,LUX,264.28452
Macao,MAC,21877.969
Madagascar,MDG,56.274715
Malawi,MWI,235.63919
Malaysia,MYS,109.504776
Maldives,MDV,1765.4033
Mali,MLI,20.651516
Malta,MLT,1704.2219
Marshall Islands,MHL,201.4611
Martinique,MTQ,321.13867
Mauritania,MRT,5.156711
Mauritius,MUS,635.0696
Mayotte,MYT,901.008
Mexico,MEX,67.87564
Micronesia (country),FSM,162.35857
Moldova,MDA,90.872185
Monaco,MCO,18385.318
Mongolia,MNG,2.2581265
Montenegro,MNE,47.039406
Montserrat,MSR,43.37
Morocco,MAR,86.10963
Mozambique,MOZ,45.310932
Myanmar,MMR,84.04031
Namibia,NAM,3.7565887
Nauru,NRU,600.75
Nepal,NPL,206.61366
Netherlands,NLD,544.89996
New Caledonia,NCL,16.15372
New Zealand,NZL,19.94549
Nicaragua,NIC,58.230545
Niger,NER,22.039774
Nigeria,NGA,260.79883
Niue,NIU,6.95
North Korea,PRK,220.67102
North Macedonia,MKD,71.916374
Northern Mariana Islands,MNP,94.6
Norway,NOR,15.43642
Oman,OMN,17.7533
Pakistan,PAK,331.07553
Palau,PLW,38.347828
Palestine,PSE,927.73126
Panama,PAN,61.622257
Papua New Guinea,PNG,23.766214
Paraguay,PRY,17.651714
Peru,PER,27.012989
Philippines,PHL,391.67892
Poland,POL,124.60265
Portugal,PRT,113.65879
Puerto Rico,PRI,364.74103
Qatar,QAT,271.1783
Reunion,REU,351.53943
Romania,ROU,82.182755
Russia,RUS,8.7927265
Rwanda,RWA,590.5674
Saint Helena,SHN,13.271795
Saint Kitts and Nevis,KNA,180.37692
Saint Lucia,LCA,295.27048
Saint Martin (French part),MAF,498.4
Saint Pierre and Miquelon,SPM,24.126087
Saint Vincent and the Grenadines,VCT,256.10513
Samoa,WSM,78.87122
San Marino,SMR,559.23334
Sao Tome and Principe,STP,250.22812
Saudi Arabia,SAU,16.079657
Senegal,SEN,98.33237
Serbia,SRB,79.54561
Seychelles,SYC,288.57175
Sierra Leone,SLE,122.19105
Singapore,SGP,8176.461
Sint Maarten (Dutch part),SXM,1291.1471
Slovakia,SVK,113.86912
Slovenia,SVN,105.13389
Solomon Islands,SLB,29.960878
Somalia,SOM,31.330223
South Africa,ZAF,53.37384
South Korea,KOR,529.3749
South Sudan,SSD,19.288126
Spain,ESP,95.830956
Sri Lanka,LKA,375.51593
Sudan,SDN,27.656374
Suriname,SUR,4.1013975
Sweden,SWE,26.165014
Switzerland,CHE,226.96663
Syria,SYR,139.52168
