Country,Status,AQI Value,Code,GHG_Emissions,Forest cover,population_density,Continent
Albania,Good,9,ALB,7.6736715330197,28.791970802919707,101.14792,Europe
Andorra,Good,10,AND,,34.04255319148936,176.32765,Europe
Argentina,Good,20,ARG,365.68461861929,10.440714878192267,16.754303,South America
Armenia,Good,22,ARM,10.836336950669,11.537407797681771,103.69912,Asia
Australia,Moderate,63,AUS,571.83984854671,17.42131455716444,3.5067463,Oceania
Austria,Good,39,AUT,72.921492529812,47.25096946194862,110.44016,Europe
Azerbaijan,Good,7,AZE,62.550294041306,13.691539038494108,125.80354,Asia
Bangladesh,Moderate,54,BGD,281.38053496815,14.468771606360914,1349.6724,Asia
Belarus,Good,31,BLR,84.277601484293,43.192275481550816,44.33387,Europe
Belgium,Moderate,61,BEL,106.37018790875,22.764200792602377,388.32742,Europe
Bosnia and Herzegovina,Good,32,BIH,29.397991348246,42.7326171875,61.328945,Europe
Brazil,Unhealthy for Sensitive Groups,110,BRA,1300.1688666752,59.41747805133678,25.461687,South America
Brunei,Good,21,BRN,12.157942508343,72.10626185958255,,Asia
Bulgaria,Good,23,BGR,53.372279020841,35.86035372144436,61.850616,Europe
Canada,Good,22,CAN,747.67802680902,38.69551250949464,4.565713,North America
Cape Verde,Good,48,CPV,,11.344913151364764,,Africa
Chile,Unhealthy for Sensitive Groups,146,CHL,121.46313217391,24.49215366655369,26.710176,South America
China,Unhealthy,167,CHN,15943.986552905,23.43132290394016,150.8377,Asia
Colombia,Moderate,52,COL,223.96663405241,53.30501126633619,48.152847,South America
Costa Rica,Good,43,CRI,16.468143919331,59.4373286329808,100.91845,North America
Croatia,Good,38,HRV,25.013482276387,34.265948047358194,68.76535,Europe
Cyprus,Good,49,CYP,10.324656394181,18.672077922077925,148.34512,Europe
Czech Republic,Moderate,65,CZE,,,,Europe
Denmark,Good,18,DNK,41.831473036828,15.711000000000002,150.06165,Europe
Dominican Republic,Good,25,DOM,48.396213040658,44.38211550403643,242.37735,North America
Ecuador,Moderate,69,ECU,73.604607615068,50.32142857142857,73.642494,South America
Egypt,Good,21,EGY,335.96804878176,0.0451855944547692,118.906975,Africa
Estonia,Good,28,EST,14.363974872585,56.09385783298827,31.442806,Europe
Finland,Good,26,FIN,43.45353679725,73.73321926822848,18.500809,Europe
France,Moderate,62,FRA,,31.50904837304609,121.72387,Europe
French Guiana,Good,10,GUF,0.57338749677229,,3.787091,South America
Georgia,Good,24,GEO,19.049153820466,40.61591595913081,54.779335,Asia
Germany,Unhealthy for Sensitive Groups,102,DEU,681.81032815187,32.684546469359134,240.63374,Europe
Ghana,Moderate,55,GHA,48.265926450338,35.09585127889602,154.10611,Africa
Gibraltar,Good,22,GIB,0.71237260220074,0.0,4009.6,Europe
Greece,Good,34,GRC,69.266029551595,30.2699767261443,77.10478,Europe
Guadeloupe,Good,20,GLP,1.4622285867384,44.39506172839506,230.70865,North America
Guatemala,Good,41,GTM,43.981074467992,32.920865994774175,174.39192,North America
Hong Kong,Good,32,HKG,40.16776057819,,7043.8325,Asia
Hungary,Good,38,HUN,60.92677185673,22.49627438088977,105.54718,Europe
Iceland,Good,36,ISL,4.171936013462,0.5122194513715711,3.9494197,Europe
India,Very Unhealthy,240,IND,4133.5543557465,24.27022827333605,492.35516,Asia
Indonesia,Unhealthy for Sensitive Groups,112,IDN,1200.1997867973,49.07178036547167,150.9711,Asia
Iran,Unhealthy,151,IRN,996.7526808229,6.601261082050149,56.96002,Asia
Ireland,Good,45,IRL,57.853266947361,11.351720133546232,77.050224,Europe
Israel,Moderate,54,ISR,,6.469500924214418,439.79358,Asia
Italy,Moderate,54,ITA,,32.52237029985721,200.00952,Europe
Japan,Unhealthy for Sensitive Groups,110,JPN,1041.0128248687,68.40877914951989,337.73233,Asia
Jersey,Good,34,JEY,,,,Europe
Jordan,Good,26,JOR,33.407709056244,1.0982203198918676,129.7457,Asia
Kazakhstan,Moderate,78,KAZ,320.34998496393,1.2796532948105344,7.7207537,Asia
Kenya,Good,26,KEN,107.97690921511,6.3448184980848295,101.086624,Africa
Kosovo,Good,25,XKX,,,,
Kyrgyzstan,Good,8,KGZ,21.698229839443,6.858081334723671,38.034332,Asia
Laos,Moderate,53,LAO,42.056212706049,71.90424610051993,,Asia
Latvia,Good,8,LVA,10.957491923456,54.91531154403477,29.78483,Europe
Liberia,Good,16,LBR,4.5323879353986,79.08471760797342,59.501297,Africa
Liechtenstein,Good,26,LIE,,41.875,250.65625,Europe
Lithuania,Good,19,LTU,20.683656998446,35.13673153366006,45.20206,Europe
Luxembourg,Good,23,LUX,7.8609330392057,36.50205761316872,264.28452,Europe
Macao,Good,25,MAC,3.1190096511524,,21877.969,Asia
Macedonia,Good,36,MKD,,,,Europe
Malaysia,Moderate,60,MYS,325.40584765842,58.176959366915234,109.504776,Asia
Malta,Good,43,MLT,2.0338652584277,1.4375,1704.2219,Europe
Martinique,Good,42,MTQ,1.2184203684901,49.33018867924528,321.13867,North America
Mexico,Unhealthy for Sensitive Groups,102,MEX,712.10209803987,33.79309138609532,67.87564,North America
Moldova,Good,2,MDA,13.54241150505,11.751292186074796,,Europe
Monaco,Good,32,MCO,,0.0,18385.318,Europe
